L1_ISO_Country_Code_Alpha2,L1_ISO_Country_Code_Alpha3,L1_ISO_Country_Code_Numeric,L1_Country_Region,L2_ISO_Region_Code_Alpha2,L2_Province_State,L2_Combined_Key,L3_ISO_County_Code,L3_FIPS_County_Code,L3_FIPS_Unique_Code,L3_US_County,L3_US_State_Abbr,L3_Combined_Key,Population_2018,Population_2019,Deaths_2018,Deaths_2019,Population_Urban_2019,Land_Area_sq_mile,ICU_Beds,Population_Aged_60_and_up,Total_Workers,Total_Workers_Not_at_Home,Workers_at_Home,Workers_take_Public_Transit,Median_Age,Lat,Long,Record_Type,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
AD,AND,20,Andorra,AD,,Andorra,AD,,,,,Andorra,,77142,,,67885,181,,,,,,,0,42.5063,1.5218,Confirmed Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,39,39,53,75,88,113,133,164,188,224,267,308,334,370,376,390,428,439,466,501,525,545,564,583,601,601,638,646,659,673,673,696,704,713,717,717,723
AD,AND,20,Andorra,AD,,Andorra,AD,,,,,Andorra,,77142,,,67885,181,,,,,,,0,42.5063,1.5218,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,6,8,12,14,15,16,17,18,21,22,23,25,26,26,29,29,31,33,33,35,35,36,37,37,37
AD,AND,20,Andorra,AD,,Andorra,AD,,,,,Andorra,,77142,,,67885,181,,,,,,,0,42.5063,1.5218,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,16,21,26,31,39,52,58,71,71,128,128,128,169,169,191,205,235,248,282,309
AE,ARE,784,United Arab Emirates,AE,,United Arab Emirates,AE,,,,,United Arab Emirates,,9770529,,,8402655,32278,,,,,,,33,24,54,Confirmed Cases,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9,9,13,13,13,13,13,13,19,21,21,21,27,27,29,29,45,45,45,74,74,85,85,85,98,98,98,113,140,140,153,153,198,248,333,333,405,468,570,611,664,814,1024,1264,1505,1799,2076,2359,2659,2990,3360,3736,4123,4521,4933,5365,5825,6302,6302,6781,7265,7755,8238
AE,ARE,784,United Arab Emirates,AE,,United Arab Emirates,AE,,,,,United Arab Emirates,,9770529,,,8402655,32278,,,,,,,33,24,54,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,5,6,8,8,9,10,10,11,12,12,14,16,20,22,25,28,33,35,37,37,41,43,46,52
AE,ARE,784,United Arab Emirates,AE,,United Arab Emirates,AE,,,,,United Arab Emirates,,9770529,,,8402655,32278,,,,,,,33,24,54,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,7,7,7,12,17,17,17,17,23,23,23,26,31,31,38,38,38,45,52,52,52,52,58,61,61,61,96,108,125,144,167,186,239,268,418,588,680,852,933,1034,1095,1188,1188,1286,1360,1443,1546
AF,AFG,4,Afghanistan,AF,,Afghanistan,AF,,,,,Afghanistan,,38041754,,,9510438,252071,,,,,,,18,33,65,Confirmed Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,170,174,237,273,281,299,349,367,423,444,484,521,555,607,665,714,784,840,906,933,996,1026,1092,1176
AF,AFG,4,Afghanistan,AF,,Afghanistan,AF,,,,,Afghanistan,,38041754,,,9510438,252071,,,,,,,18,33,65,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,6,6,7,7,11,14,14,15,15,18,18,21,23,25,30,30,30,33,36,36,40
AF,AFG,4,Afghanistan,AF,,Afghanistan,AF,,,,,Afghanistan,,38041754,,,9510438,252071,,,,,,,18,33,65,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,10,10,10,15,18,18,29,32,32,32,32,32,40,43,54,99,112,131,135,150,166
AG,ATG,28,Antigua and Barbuda,AG,,Antigua and Barbuda,AG,,,,,Antigua and Barbuda,,97118,,,25251,170,,,,,,,34,17.0608,-61.7964,Confirmed Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7,7,9,15,15,15,15,19,19,19,19,21,21,23,23,23,23,23,23,23,23,23,24
